key	en_us	non_is	note
argument.criteria.invalid	Unknown criterion '%s'	Unknown criterion '%s'	review needed
argument.dimension.invalid	Unknown dimension '%s'	Unknown dimension '%s'	review needed
argument.double.big	Double must not be more than %s, found %s	Double must not be more than %s, found %s	review needed
argument.double.low	Double must not be less than %s, found %s	Double must not be less than %s, found %s	review needed
argument.entity.invalid	Invalid name or UUID	Invalid name or UUID	review needed
argument.entity.notfound.entity	No entity was found	No entity was found	review needed
argument.entity.notfound.player	No player was found	No player was found	review needed
argument.entity.options.advancements.description	Players with advancements	Players with advancements	review needed
argument.entity.options.distance.description	Distance to entity	Distance to entity	review needed
argument.entity.options.distance.negative	Distance cannot be negative	Distance cannot be negative	review needed
argument.entity.options.dx.description	Entities between x and x + dx	Entities between x and x + dx	review needed
argument.entity.options.dy.description	Entities between y and y + dy	Entities between y and y + dy	review needed
argument.entity.options.dz.description	Entities between z and z + dz	Entities between z and z + dz	review needed
argument.entity.options.gamemode.description	Players with game mode	Players with game mode	review needed
argument.entity.options.inapplicable	Option '%s' isn't applicable here	Option '%s' isn't applicable here	review needed
argument.entity.options.level.description	Experience level	Experience level	review needed
argument.entity.options.level.negative	Level shouldn't be negative	Level shouldn't be negative	review needed
argument.entity.options.limit.description	Maximum number of entities to return	Maximum number of entities to return	review needed
argument.entity.options.limit.toosmall	Limit must be at least 1	Limit must be at least 1	review needed
argument.entity.options.mode.invalid	Invalid or unknown game mode '%s'	Invalid or unknown game mode '%s'	review needed
argument.entity.options.name.description	Entity name	Entity name	review needed
argument.entity.options.nbt.description	Entities with NBT	Entities with NBT	review needed
argument.entity.options.predicate.description	Custom predicate	Custom predicate	review needed
argument.entity.options.scores.description	Entities with scores	Entities with scores	review needed
argument.entity.options.sort.description	Sort the entities	Sort the entities	review needed
argument.entity.options.sort.irreversible	Invalid or unknown sort type '%s'	Invalid or unknown sort type '%s'	review needed
argument.entity.options.tag.description	Entities with tag	Entities with tag	review needed
argument.entity.options.team.description	Entities on team	Entities on team	review needed
argument.entity.options.type.description	Entities of type	Entities of type	review needed
argument.entity.options.type.invalid	Invalid or unknown entity type '%s'	Invalid or unknown entity type '%s'	review needed
argument.entity.options.unknown	Unknown option '%s'	Unknown option '%s'	review needed
argument.entity.options.unterminated	Expected end of options	Expected end of options	review needed
argument.entity.options.valueless	Expected value for option '%s'	Expected value for option '%s'	review needed
argument.entity.options.x.description	x position	x position	review needed
argument.entity.options.x_rotation.description	Entity's x rotation	Entity's x rotation	review needed
argument.entity.options.y.description	y position	y position	review needed
argument.entity.options.y_rotation.description	Entity's y rotation	Entity's y rotation	review needed
argument.entity.options.z.description	z position	z position	review needed
argument.entity.selector.allEntities	All entities	All entities	review needed
argument.entity.selector.allPlayers	All players	All players	review needed
argument.entity.selector.missing	Missing selector type	Missing selector type	review needed
argument.entity.selector.nearestEntity	argument.entity.selector.nearestEntity	argument.entity.selector.nearestEntity	review needed
argument.entity.selector.nearestPlayer	Nearest player	Nearest player	review needed
argument.entity.selector.not_allowed	Selector not allowed	Selector not allowed	review needed
argument.entity.selector.randomPlayer	Random player	Random player	review needed
argument.entity.selector.self	Current entity	Current entity	review needed
argument.entity.selector.unknown	Unknown selector type '%s'	Unknown selector type '%s'	review needed
argument.entity.toomany	Only one entity is allowed, but the provided selector allows more than one	Only one entity is allowed, but the provided selector allows more than one	review needed
argument.enum.invalid	"Invalid value ""%s"""	"Invalid value ""%s"""	review needed
argument.float.big	Float must not be more than %s, found %s	Float must not be more than %s, found %s	review needed
argument.float.low	Float must not be less than %s, found %s	Float must not be less than %s, found %s	review needed
argument.gamemode.invalid	Unknown game mode: %s	Unknown game mode: %s	review needed
argument.hexcolor.invalid	argument.hexcolor.invalid	argument.hexcolor.invalid	review needed
argument.id.invalid	Invalid ID	Invalid ID	review needed
argument.id.unknown	Unknown ID: %s	Unknown ID: %s	review needed
argument.integer.big	Integer must not be more than %s, found %s	Integer must not be more than %s, found %s	review needed
argument.integer.low	Integer must not be less than %s, found %s	Integer must not be less than %s, found %s	review needed
argument.item.id.invalid	Unknown item '%s'	Unknown item '%s'	review needed
argument.item.tag.disallowed	Tags aren't allowed here, only actual items	Tags aren't allowed here, only actual items	review needed
argument.literal.incorrect	Expected literal %s	Expected literal %s	review needed
argument.long.big	Long must not be more than %s, found %s	Long must not be more than %s, found %s	review needed
argument.long.low	Long must not be less than %s, found %s	Long must not be less than %s, found %s	review needed
argument.message.too_long	argument.message.too_long	argument.message.too_long	review needed
argument.nbt.array.invalid	Invalid array type '%s'	Invalid array type '%s'	review needed
argument.nbt.array.mixed	Can't insert %s into %s	Can't insert %s into %s	review needed
argument.nbt.expected.compound	argument.nbt.expected.compound	argument.nbt.expected.compound	review needed
argument.nbt.expected.key	Expected key	Expected key	review needed
argument.nbt.expected.value	Expected value	Expected value	review needed
argument.nbt.list.mixed	Can't insert %s into list of %s	Can't insert %s into list of %s	review needed
argument.nbt.trailing	Unexpected trailing data	Unexpected trailing data	review needed
argument.player.entities	Only players may be affected by this command, but the provided selector includes entities	Only players may be affected by this command, but the provided selector includes entities	review needed
argument.player.toomany	Only one player is allowed, but the provided selector allows more than one	Only one player is allowed, but the provided selector allows more than one	review needed
argument.player.unknown	That player does not exist	That player does not exist	review needed
argument.pos.missing.double	Expected a coordinate	Expected a coordinate	review needed
argument.pos.missing.int	Expected a block position	Expected a block position	review needed
argument.pos.mixed	Cannot mix world & local coordinates (everything must either use ^ or not)	Cannot mix world & local coordinates (everything must either use ^ or not)	review needed
argument.pos.outofbounds	That position is outside the allowed boundaries.	That position is outside the allowed boundaries.	review needed
argument.pos.outofworld	That position is out of this world!	That position is out of this world!	review needed
argument.pos.unloaded	That position is not loaded	That position is not loaded	review needed
argument.pos2d.incomplete	Incomplete (expected 2 coordinates)	Incomplete (expected 2 coordinates)	review needed
argument.pos3d.incomplete	Incomplete (expected 3 coordinates)	Incomplete (expected 3 coordinates)	review needed
argument.range.empty	Expected value or range of values	Expected value or range of values	review needed
argument.range.ints	Only whole numbers allowed, not decimals	Only whole numbers allowed, not decimals	review needed
argument.range.swapped	Min cannot be bigger than max	Min cannot be bigger than max	review needed
argument.resource.invalid_type	Element '%s' has wrong type '%s' (expected '%s')	Element '%s' has wrong type '%s' (expected '%s')	review needed
argument.resource.not_found	Can't find element '%s' of type '%s'	Can't find element '%s' of type '%s'	review needed
argument.resource_or_id.failed_to_parse	argument.resource_or_id.failed_to_parse	argument.resource_or_id.failed_to_parse	review needed
argument.resource_or_id.invalid	argument.resource_or_id.invalid	argument.resource_or_id.invalid	review needed
argument.resource_or_id.no_such_element	argument.resource_or_id.no_such_element	argument.resource_or_id.no_such_element	review needed
argument.resource_selector.not_found	argument.resource_selector.not_found	argument.resource_selector.not_found	review needed
argument.resource_tag.invalid_type	Tag '%s' has wrong type '%s' (expected '%s')	Tag '%s' has wrong type '%s' (expected '%s')	review needed
