key	en_us	ang	note
minecraft.packet.advancements.adventure.trim_with_all_exclusive_armor_patterns.title	Smithing with Style	Smithing with Style	review needed
minecraft.packet.advancements.adventure.trim_with_any_armor_pattern.description	Craft a trimmed armor at a Smithing Table	Craft a trimmed armor at a Smithing Table	review needed
minecraft.packet.advancements.adventure.trim_with_any_armor_pattern.title	Crafting a New Look	Crafting a New Look	review needed
minecraft.packet.advancements.adventure.two_birds_one_arrow.description	Kill two Phantoms with a piercing Arrow	Kill two Phantoms with a piercing Arrow	review needed
minecraft.packet.advancements.adventure.two_birds_one_arrow.title	Two Birds, One Arrow	Two Birds, One Arrow	review needed
minecraft.packet.advancements.adventure.very_very_frightening.description	Strike a Villager with lightning	Strike a Villager with lightning	review needed
minecraft.packet.advancements.adventure.very_very_frightening.title	Very Very Frightening	Very Very Frightening	review needed
minecraft.packet.advancements.adventure.voluntary_exile.description	"Kill a raid captain.
Maybe consider staying away from villages for the time being..."	"Kill a raid captain.
Maybe consider staying away from villages for the time being..."	review needed
minecraft.packet.advancements.adventure.voluntary_exile.title	Voluntary Exile	Voluntary Exile	review needed
minecraft.packet.advancements.adventure.walk_on_powder_snow_with_leather_boots.description	Walk on Powder Snow... without sinking in it	Walk on Powder Snow... without sinking in it	review needed
minecraft.packet.advancements.adventure.walk_on_powder_snow_with_leather_boots.title	Light as a Rabbit	Light as a Rabbit	review needed
minecraft.packet.advancements.adventure.whos_the_pillager_now.description	Give a Pillager a taste of their own medicine	Give a Pillager a taste of their own medicine	review needed
minecraft.packet.advancements.adventure.whos_the_pillager_now.title	Who's the Pillager Now?	Who's the Pillager Now?	review needed
minecraft.packet.advancements.empty	There doesn't seem to be anything here...	There doesn't seem to be anything here...	review needed
minecraft.packet.advancements.end.dragon_breath.description	Collect Dragon's Breath in a Glass Bottle	Collect Dragon's Breath in a Glass Bottle	review needed
minecraft.packet.advancements.end.dragon_breath.title	You Need a Mint	You Need a Mint	review needed
minecraft.packet.advancements.end.dragon_egg.description	Hold the Dragon Egg	Hold the Dragon Egg	review needed
minecraft.packet.advancements.end.dragon_egg.title	The Next Generation	The Next Generation	review needed
minecraft.packet.advancements.end.elytra.description	Find Elytra	Find Elytra	review needed
minecraft.packet.advancements.end.elytra.title	Sky's the Limit	Sky's the Limit	review needed
minecraft.packet.advancements.end.enter_end_gateway.description	Escape the island	Escape the island	review needed
minecraft.packet.advancements.end.enter_end_gateway.title	Remote Getaway	Remote Getaway	review needed
minecraft.packet.advancements.end.find_end_city.description	Go on in, what could happen?	Go on in, what could happen?	review needed
minecraft.packet.advancements.end.find_end_city.title	The City at the End of the Game	The City at the End of the Game	review needed
minecraft.packet.advancements.end.kill_dragon.description	Good luck	Good luck	review needed
minecraft.packet.advancements.end.kill_dragon.title	Free the End	Free the End	review needed
minecraft.packet.advancements.end.levitate.description	Levitate up 50 blocks from the attacks of a Shulker	Levitate up 50 blocks from the attacks of a Shulker	review needed
minecraft.packet.advancements.end.levitate.title	Great View From Up Here	Great View From Up Here	review needed
minecraft.packet.advancements.end.respawn_dragon.description	Respawn the Ender Dragon	Respawn the Ender Dragon	review needed
minecraft.packet.advancements.end.respawn_dragon.title	The End... Again...	The End... Again...	review needed
minecraft.packet.advancements.end.root.description	Or the beginning?	Or the beginning?	review needed
minecraft.packet.advancements.end.root.title	The End	The End	review needed
minecraft.packet.advancements.husbandry.allay_deliver_cake_to_note_block.description	Have an Allay drop a Cake at a Note Block	Have an Allay drop a Cake at a Note Block	review needed
minecraft.packet.advancements.husbandry.allay_deliver_cake_to_note_block.title	Birthday Song	Birthday Song	review needed
minecraft.packet.advancements.husbandry.allay_deliver_item_to_player.description	Have an Allay deliver items to you	Have an Allay deliver items to you	review needed
minecraft.packet.advancements.husbandry.allay_deliver_item_to_player.title	You've Got a Friend in Me	You've Got a Friend in Me	review needed
minecraft.packet.advancements.husbandry.axolotl_in_a_bucket.description	Catch an Axolotl in a Bucket	Catch an Axolotl in a Bucket	review needed
minecraft.packet.advancements.husbandry.axolotl_in_a_bucket.title	The Cutest Predator	The Cutest Predator	review needed
minecraft.packet.advancements.husbandry.balanced_diet.description	Eat everything that is edible, even if it's not good for you	Eat everything that is edible, even if it's not good for you	review needed
minecraft.packet.advancements.husbandry.balanced_diet.title	A Balanced Diet	A Balanced Diet	review needed
minecraft.packet.advancements.husbandry.breed_all_animals.description	Breed all the animals!	Breed all the animals!	review needed
minecraft.packet.advancements.husbandry.breed_all_animals.title	Two by Two	Two by Two	review needed
minecraft.packet.advancements.husbandry.breed_an_animal.description	Breed two animals together	Breed two animals together	review needed
minecraft.packet.advancements.husbandry.breed_an_animal.title	The Parrots and the Bats	The Parrots and the Bats	review needed
minecraft.packet.advancements.husbandry.complete_catalogue.description	Tame all Cat variants!	Tame all Cat variants!	review needed
minecraft.packet.advancements.husbandry.complete_catalogue.title	A Complete Catalogue	A Complete Catalogue	review needed
minecraft.packet.advancements.husbandry.feed_snifflet.description	Feed a Snifflet	Feed a Snifflet	review needed
minecraft.packet.advancements.husbandry.feed_snifflet.title	Little Sniffs	Little Sniffs	review needed
minecraft.packet.advancements.husbandry.fishy_business.description	Catch a fish	Catch a fish	review needed
minecraft.packet.advancements.husbandry.fishy_business.title	Fishy Business	Fishy Business	review needed
minecraft.packet.advancements.husbandry.froglights.description	Have all Froglights in your inventory	Have all Froglights in your inventory	review needed
minecraft.packet.advancements.husbandry.froglights.title	With Our Powers Combined!	With Our Powers Combined!	review needed
minecraft.packet.advancements.husbandry.kill_axolotl_target.description	Team up with an Axolotl and win a fight	Team up with an Axolotl and win a fight	review needed
minecraft.packet.advancements.husbandry.kill_axolotl_target.title	The Healing Power of Friendship!	The Healing Power of Friendship!	review needed
minecraft.packet.advancements.husbandry.leash_all_frog_variants.description	Get each Frog variant on a Lead	Get each Frog variant on a Lead	review needed
minecraft.packet.advancements.husbandry.leash_all_frog_variants.title	When the Squad Hops into Town	When the Squad Hops into Town	review needed
minecraft.packet.advancements.husbandry.make_a_sign_glow.description	Make the text of any kind of sign glow	Make the text of any kind of sign glow	review needed
minecraft.packet.advancements.husbandry.make_a_sign_glow.title	Glow and Behold!	Glow and Behold!	review needed
minecraft.packet.advancements.husbandry.netherite_hoe.description	Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices	Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices	review needed
minecraft.packet.advancements.husbandry.netherite_hoe.title	Serious Dedication	Serious Dedication	review needed
minecraft.packet.advancements.husbandry.obtain_sniffer_egg.description	Obtain a Sniffer Egg	Obtain a Sniffer Egg	review needed
minecraft.packet.advancements.husbandry.obtain_sniffer_egg.title	Smells Interesting	Smells Interesting	review needed
minecraft.packet.advancements.husbandry.plant_any_sniffer_seed.description	Plant any Sniffer seed	Plant any Sniffer seed	review needed
minecraft.packet.advancements.husbandry.plant_any_sniffer_seed.title	Planting the Past	Planting the Past	review needed
minecraft.packet.advancements.husbandry.plant_seed.description	Plant a seed and watch it grow	Plant a seed and watch it grow	review needed
minecraft.packet.advancements.husbandry.plant_seed.title	A Seedy Place	A Seedy Place	review needed
minecraft.packet.advancements.husbandry.ride_a_boat_with_a_goat.description	Get in a Boat and float with a Goat	Get in a Boat and float with a Goat	review needed
minecraft.packet.advancements.husbandry.ride_a_boat_with_a_goat.title	Whatever Floats Your Goat!	Whatever Floats Your Goat!	review needed
minecraft.packet.advancements.husbandry.root.description	The world is full of friends and food	The world is full of friends and food	review needed
minecraft.packet.advancements.husbandry.root.title	Husbandry	Husbandry	review needed
minecraft.packet.advancements.husbandry.safely_harvest_honey.description	Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees	Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees	review needed
minecraft.packet.advancements.husbandry.safely_harvest_honey.title	Bee Our Guest	Bee Our Guest	review needed
minecraft.packet.advancements.husbandry.silk_touch_nest.description	Move a Bee Nest, with 3 Bees inside, using Silk Touch	Move a Bee Nest, with 3 Bees inside, using Silk Touch	review needed
minecraft.packet.advancements.husbandry.silk_touch_nest.title	Total Beelocation	Total Beelocation	review needed
minecraft.packet.advancements.husbandry.tactical_fishing.description	Catch a Fish... without a Fishing Rod!	Catch a Fish... without a Fishing Rod!	review needed
minecraft.packet.advancements.husbandry.tactical_fishing.title	Tactical Fishing	Tactical Fishing	review needed
minecraft.packet.advancements.husbandry.tadpole_in_a_bucket.description	Catch a Tadpole in a Bucket	Catch a Tadpole in a Bucket	review needed
minecraft.packet.advancements.husbandry.tadpole_in_a_bucket.title	Bukkit Bukkit	Bukkit Bukkit	review needed
minecraft.packet.advancements.husbandry.tame_an_animal.description	Tame an animal	Tame an animal	review needed
minecraft.packet.advancements.husbandry.tame_an_animal.title	Best Friends Forever	Best Friends Forever	review needed
minecraft.packet.advancements.husbandry.wax_off.description	Scrape Wax off of a Copper block!	Scrape Wax off of a Copper block!	review needed
minecraft.packet.advancements.husbandry.wax_off.title	Wax Off	Wax Off	review needed
